source,target,value
Naruto,Sasuke,891
Sakura,Sasuke,527
Naruto,Sakura,462
Hinata,Naruto,345
Orochimaru,Sasuke,280
Akamaru,Kiba,251
Kurenai,Yakumo,229
Kiba,Naruto,224
Kakashi,Sasuke,219
Naruto,Tsunade,187
Akamaru,Naruto,186
Ino,Sakura,183
Kakashi,Naruto,154
Naruto,Neji,144
Naruto,Orochimaru,127
Iruka,Naruto,123
Lee,Naruto,118
Guy,Lee,110
Lee,Sasuke,109
Gaara,Sasuke,106
Burn,Oli,104
Choji,Naruto,104
Naruto,Shikamaru,101
Hokage,Naruto,98
Hinata,Kiba,95
Orochimaru,Tsunade,88
Sasuke,Uchiha,88
Arashi,Sasame,85
Choji,Shikamaru,85
Gaara,Naruto,84
Akahoshi,Sumaru,82
Sasuke,Shikamaru,82
Hinata,Neji,81
Mizuki,Naruto,81
Chishima,Toki,80
Raiga,Ranmaru,78
Jiraiya,Naruto,76
Akio,Gantetsu,76
Naruto,the,76
Iruka,Mizuki,73
Kakashi,Sakura,73
Hinata,Shino,73
Naruto,–,71
Naruto,Shino,69
Moso,Sagi,69
Orochimaru,Sasame,69
Gaara,Lee,69
Neji,Sasuke,67
Arashi,Orochimaru,67
Ino,Sasuke,66
Lee,Sakura,64
Naruto,Pervy,63
Itachi,Sasuke,63
Sasuke,Tsunade,60
Sagi,Toki,58
Komei,Moso,57
Lee,Neji,56
Akamaru,Hinata,56
Komei,Sagi,54
Hokage,Sasuke,53
Choji,Hinata,52
Byakugan,Naruto,52
Jiraiya,Tsunade,51
Arashi,Naruto,50
Kurenai,Naruto,48
Mizuki,Orochimaru,48
Menma,Naruto,47
Kabuto,Sasuke,47
Naruto,Zabuza,47
Sagi,the,47
Naruto,Rasengan,47
Guy,Naruto,47
Naruto,Yakumo,46
Chishima,Naruto,45
Choji,Sasuke,44
Byakugan,Hinata,43
Gantetsu,Todoroki,43
Naruto,The,43
Sakura,Shikamaru,43
Komei,the,42
Kiba,Shino,42
Choji,Neji,42
Chidori,Sasuke,41
Konohamaru,Naruto,41
Akio,Todoroki,40
Choji,Kiba,39
Kimimaro,Orochimaru,39
Chunin,Sasuke,39
Natsuhiboshi,Sumaru,39
Hinata,Sasuke,38
Bushy,Lee,38
Jiraiya,Orochimaru,37
Naruto,Sasame,37
Kurenai,Sensei,37
Moso,the,36
Naruto,Tazuna,36
Kakashi,Lee,36
Sakura,Sasame,36
Sannin,Tsunade,36
Byakugan,Neji,35
Naruto,Toki,35
Choji,Ino,35
Hokage,Tsunade,35
Chishima,Sagi,34
Sakura,Tsunade,34
Bushy,Naruto,34
Humph,Naruto,33
Akio,Naruto,33
Ino,Naruto,33
Hanzaki,Sasame,33
Gaara,Sakura,33
Naruto,Ninja,33
Sasuke,Sharingan,32
Anko,Orochimaru,32
Guy,Sasuke,32
Orochimaru,Sakura,32
Sasuke,Yoroi,31
Chidori,Naruto,31
Gantetsu,Naruto,31
Kakashi,Zabuza,30
Guy,Kakashi,30
Shizune,Tsunade,29
Natsuhi,Sumaru,29
Ino,Shikamaru,29
Akamaru,Shino,29
Haruna,Naruto,29
Kiba,Sasuke,29
Kiba,Shikamaru,29
Orochimaru,the,29
Kurenai,Sakura,29
Kurenai,Shino,29
Hanzaki,Orochimaru,29
Murakumo,Yakumo,29
Gaara,Kankuro,29
Naruto,Yurinojou,29
Hinata,Kurenai,28
Kiba,Neji,28
Owashi,Sagi,28
Jiraiya,Pervy,28
Kabuto,Orochimaru,28
Kiba,Kurenai,28
Karashi,Sansho,28
Naruto,Sensei,28
Choji,Yurinojou,28
Naruto,Sagi,27
Iruka,Sasuke,27
Haruna,Kikunojou,27
Fujin,Raijin,27
Arashi,Sasuke,27
Hinata,Sakura,26
Hoshikage,Sumaru,26
Sensei,Yakumo,26
Neji,Tenten,26
Choji,Sakura,26
Chen,Peking,26
Kabuto,Tsunade,26
Itachi,Naruto,26
Mizura,Sumaru,26
Moso,Owashi,25
Komei,Owashi,25
Lee,Sensei,25
Guy,Sakura,25
Kiba,Yakumo,25
Humph,Sasuke,25
Sasuke,Zabuza,24
Kakashi,Orochimaru,24
Neji,Shikamaru,24
Akamaru,Sasuke,24
Akahoshi,Mizura,24
Hinata,Yakumo,24
Gaara,Temari,24
Hokage,Orochimaru,24
Gaara,Shukaku,24
Lee,Tenten,24
Kabuto,Naruto,24
Orochimaru,Shizune,24
Akamaru,Tsunade,23
Gaara,Shikamaru,23
Manda,Orochimaru,23
Gaara,Yashamaru,23
Sasuke,Sensei,23
Pervy,Sakura,23
Naruto,Tenten,23
Mizuki,Tsubaki,23
Orochimaru,Pervy,23
Pervy,Sasuke,23
Haku,Sasuke,23
Tsunade,the,23
Gaara,Kakashi,23
Gaara,Neji,22
Ninja,Sasuke,22
Konohamaru,Tsunade,22
Akahoshi,Hoshikage,22
Naruto,Uchiha,21
Naruto,Sumaru,21
Itachi,Kisame,21
Chunin,Naruto,21
Jiraiya,Sannin,21
Asuma,Kurenai,21
Gaara,Uchiha,21
Jiraiya,Sasame,21
Orochimaru,Sannin,21
Sasuke,the,21
Genno,Naruto,21
Kakashi,Tsunade,21
Hiashi,Hizashi,20
Yakumo,Yuhi,20
Naruto,Shizune,20
Hokage,Iruka,20
Iruka,Orochimaru,20
Guy,Neji,20
Sasuke,Tazuna,20
Tonton,Tsunade,20
Hinata,Yurinojou,20
Haku,Naruto,20
Kiba,Tsunade,20
Naruto,Transform,20
Kakashi,Kurenai,20
Jonin,Naruto,20
Sasuke,Shino,20
Shikamaru,Tsunade,19
Mizuki,Tsunade,19
Gaara,the,19
Gaara,–,19
The,the,19
Karashi,Lee,19
Kikunojou,Naruto,19
Haku,Zabuza,19
Naruto,Shadow,19
Naruto,Sannin,19
Kiba,Sakura,19
Akahoshi,Neji,19
Chidori,Kakashi,19
Hinata,Tsunade,19
Akahoshi,Naruto,18
Neji,Sumaru,18
Shino,Yakumo,18
Iruka,Konohamaru,18
Burn,Tsunade,18
Orochimaru,Sarutobi,18
Guy,Yagura,18
Sakura,Yakumo,18
Genno,Shikamaru,18
Jiraiya,the,18
Hokage,Kiba,18
Gaara,Matsuri,18
Karashi,Raiga,18
Akamaru,Hokage,18
Akamaru,Choji,18
Hinata,Shikamaru,18
Dan,Tsunade,18
Arashi,Sakura,18
Arashi,Hanzaki,18
Sasuke,The,18
Mizuki,Raijin,18
Iruka,Tsubaki,17
Naruto,Todoroki,17
Moso,Toki,17
Gaara,Kazekage,17
Byakugan,Kiba,17
Gosunkugi,Sazanami,17
Sasuke,–,17
Itachi,Kakashi,17
Jutsu,Sasuke,17
Lee,Tsunade,17
Pervy,Sasame,17
Kagero,Sasame,17
Owashi,Toki,17
Bushy,Sasuke,17
Konohamaru,Sasuke,17
Haruna,Hinata,17
Komei,Toki,17
Ayame,Ryonin,17
Sakura,Shino,17
Hinata,–,17
Akahoshi,Natsuhi,17
Karashi,Ranmaru,16
Asuma,Orochimaru,16
Konohamaru,Moegi,16
Boulder,Choji,16
Gantetsu,Monju,16
Isaribi,Naruto,16
Pervy,Tsunade,16
Hokuto,Sumaru,16
Hinata,Hyuga,16
Tazuna,Zabuza,16
Naruto,Onbu,16
Iruka,Tsunade,16
Naruto,Shinobi,16
Idate,Sakura,16
Akamaru,Shikamaru,16
Jin,Tori,16
Fujin,Mizuki,15
Lee,Shikamaru,15
Sasame,Sasuke,15
Lee,Yagura,15
Owashi,the,15
Sakura,the,15
Hinata,Lee,15
Haruna,Yurinojou,15
Jiraiya,Sasuke,15
Naruto,Raiga,15
Hiashi,Hinata,15
Choji,Haruna,15
Tsunade,–,15
Isaribi,the,14
Ino,Shino,14
Pervy,Sannin,14
Neji,Sakura,14
Ne,Tori,14
Guy,Rokusuke,14
Chishima,a,14
Hokage,Kakashi,14
Chishima,Moso,14
Chunin,Jonin,14
Hokage,Konohamaru,14
Sakura,–,14
Akamaru,–,14
Chunin,Shikamaru,14
Itachi,Uchiha,14
Genin,Naruto,14
Kakashi,the,14
Sakura,Sensei,14
Kikusuke,Yurinoshin,13
Kurenai,Unkai,13
Hokage,Sakura,13
Sakura,The,13
Kankuro,Temari,13
Hokuto,Mizura,13
Hoshikage,Naruto,13
Hokage,Uchiha,13
Gato,Naruto,13
Peking,Popo,13
Bodimahattaya-san,Chen,13
Bodimahattaya-san,Popo,13
Sasame,the,13
Bodimahattaya-san,Peking,13
Bodimahattaya-san,Sanchez,13
Ebisu,Naruto,13
Lee,–,13
Genin,Sasuke,13
Sasuke,Zaku,13
Genin,Hinata,13
Jin,saru,13
Bodimahattaya-san,Ole,13
Dojo,Lee,13
Kagero,Orochimaru,13
Chen,Ole,13
Asuma,Kakashi,13
Chen,Popo,13
Ole,Sanchez,13
Neji,Sagi,13
Ole,Tyson,13
Naruto,Tsubaki,13
Idate,Naruto,13
Ole,Peking,13
Akamaru,Byakugan,13
Naruto,Ranmaru,13
Hinata,Janin,13
Hyuga,Neji,13
Akamaru,Sakura,13
Mizuki,Sasuke,13
Bushy,Sakura,13
Sanchez,Tyson,13
Hyuga,Naruto,12
Hinata,Hizashi,12
Dojo,Naruto,12
Jonin,Kurenai,12
Unkai,Yakumo,12
Hizashi,Hyuga,12
Sakura,Tazuna,12
Genno,Leaf,12
Choji,Tsunade,12
Choji,Shino,12
Hanzaki,Jiraiya,12
Gosunkugi,Naruto,12
Genno,Tsunade,12
Ichiraku,Naruto,12
Burn,Pervy,12
Akahoshi,Hokuto,12
Sakura,Zabuza,12
Aoi,Idate,12
Kurenai,Yuhi,11
Kazekage,Sasuke,11
Konohamaru,the,11
Kakashi,Neji,11
Rock,Sasuke,11
Arashi,Jiraiya,11
Jonin,Sasuke,11
Kurenai,the,11
Hinata,Ninja,11
Naruto,that,11
Hokage,Sarutobi,11
The,Tsunade,11
saru,ushi,11
Tora,Tori,11
Byakugan,Kurenai,11
Neji,Tsunade,11
Hayate,Orochimaru,11
Tori,hitsuji,11
Neji,the,11
Hanabi,Hinata,11
Akamaru,Neji,11
Bushy,Tsunade,11
Neji,Shino,11
Guy,Tsunade,11
Akio,Shura,11
Shikamaru,Shino,11
Jin,ushi,11
Kabuto,Kimimaro,11
Jirocho,Naruto,11
Naruto,Proctor,11
Gosunkugi,Hinata,11
Sakura,Uchiha,11
Katsuyu,Orochimaru,11
Karashi,Kurosuki,11
Ne,Uma,11
Kimimaro,Sasuke,11
NARUTO,Naruto,10
Naruto,Sharingan,10
Chishima,Komei,10
Hiashi,the,10
Akatsuki,Sasuke,10
Akio,Sakura,10
Akatsuki,Naruto,10
Humph,Kakashi,10
Idate,Sasuke,10
Sakura,Tenten,10
Saru,Tori,10
Gamabunta,Jiraiya,10
Kakashi,Sharingan,10
Gaara,Orochimaru,10
Karashi,Rokusuke,10
Kakashi,Pervy,10
Byakugan,Shino,10
Naruto,lruka,10
Karashi,Naruto,10
Katsuyu,Tsunade,10
Tori,Uma,10
Gaara,Sand,10
Hitsuji,Tori,10
Hokage,Kazekage,10
Hitsuji,Inu,10
Sagi,Tenten,10
Pervy,the,10
Sakon,Tayuya,10
Gosa,Hinata,10
An,Yakumo,10
Shikamaru,Temari,10
Burn,Naruto,10
Sasuke,Tayuya,10
Iruka,Kakashi,10
Kakashi,Tazuna,10
Orochimaru,Tayuya,10
Kakashi,Kiba,10
Kunoichi,Sakura,10
Orochimaru,The,10
Rasengan,Sasuke,10
Leaf,Naruto,10
Bushy,Guy,10
Moso,Naruto,10
Shino,the,10
Amachi,Orochimaru,10
Ino,Kakashi,10
Inu,Tori,10
Arashi,Kagero,9
Kakashi,Shikamaru,9
Gantetsu,Sakura,9
Arashi,Jigumo,9
Jin,hitsuji,9
Kujaku,Sumaru,9
Dosu,Sasuke,9
Kunihisa,Naruto,9
Kunihisa,Tsunade,9
Kekkei,Sasuke,9
Neji,Ninja,9
Neji,Ranmaru,9
Tori,ushi,9
Neji,Raiga,9
Hinata,the,9
Hotarubi,Sumaru,9
Yakumo,the,9
Nawaki,Tsunade,9
Kankuro,Sasuke,9
Gatsu,Tokichi,9
Gaara,Seimei,9
Konohamaru,Udon,9
Gamabunta,Naruto,9
Kiba,–,9
Kiba,Lee,9
Cricket,Naruto,9
Ino,Kiba,9
Ino,Lee,9
Haku,Sakura,9
Mizura,Naruto,9
